,Image Prompts,Image Caption,Image Description,Image DayTime,Image Weather,KeyWords,File Type,Image Size,Megapixels,Image Width,Image Height
1,cows on road2.png,a herd of cattle walking down a street,cows on road2.png,daytime,rainy,"['herd of cattle', 'cattle walking', 'street', 'herd', 'cows']",PNG,1024x1024,1.05,1024,1024
2,Generate camera captured shot of a indian road in urban area with people navigating through traffic including pedestrians cyclists and motorcyclists of year 2023.png,a street filled with lots of cars and motorcycles,a camera captured shot of an indian road in urban area with people navigating through traffic,daytime,rainy,"['cars and motorcycles', 'street filled', 'filled with lots', 'lots of cars', 'Generate camera captured', 'traffic including pedestrians', 'captured shot']",PNG,1024x1024,1.05,1024,1024
3,camera looking at busy bengaluru road at night time low angle hyper realistic .png,a city street filled with lots of traffic,camera looking at busy bengaluru road at night time low angle hyper realistic,night time,rainy,"['city street filled', 'lots of traffic', 'filled with lots', 'city', 'lots', 'angle hyper realistic', 'busy bengaluru road']",PNG,1024x1024,1.05,1024,1024
4,Generate an image taken from an low point of view camera driving through a busy Indian flyover at early rainy morning high quality2.png,a highway filled with lots of traffic on a sunny day,a low point of view camera driving through a busy Indian flyover at early rainy,daytime,rainy,"['sunny day', 'highway filled', 'filled with lots', 'lots of traffic', 'lots', 'busy Indian flyover', 'rainy morning high']",PNG,1024x1024,1.05,1024,1024
5,flooded Indian road during the rainy season2.png,a truck driving down a flooded street next to a group of people,flooded Indian road during the rainy season2.png,daytime,rainy,"['group of people', 'truck driving', 'flooded street', 'Indian road', 'rainy']",PNG,1024x1024,1.05,1024,1024
6,generate a camera shot quality image that shows a busy indian road with autos cars and scooties on the road. This is a zebracrossing with _red light signal_ and people crossing the road . It is a sunny d.png,a busy street filled with cars and pedestrians,zebra crossing in a busy road,daytime,sunny,"['busy street filled', 'cars and pedestrians', 'filled with cars', 'busy', 'cars', 'camera shot quality', 'generate a camera']",PNG,1024x1024,1.05,1024,1024
7,sunny day with blue skies in indian traffic street on red signal with cars and motorbikes overtaking and potholes in the road.png,a city street filled with cars and trucks,sunny day with blue skies in indian traffic street on red signal with cars and motorbikes,daytime,rain,"['city street filled', 'cars and trucks', 'filled with cars', 'cars', 'city', 'indian traffic street', 'sunny day']",PNG,1024x1024,1.05,1024,1024
8,Generate an image taken from an low point of view camera driving through a busy Indian road at early rainy morning high quality2.png,a car is driving down a flooded street,a low point of view camera driving through a busy Indian road at early rainy morning,daytime,rainy,"['flooded street', 'car is driving', 'car', 'busy Indian road', 'rainy morning high', 'Generate an image', 'low point']",PNG,1024x1024,1.05,1024,1024
9,new generate a photo of highways in India with a few vehicles and farms on either side of the road.png,a highway filled with lots of trucks driving down it,a photo of highways in india with a few vehicles and farms on either side of,daytime,rainy,"['filled with lots', 'lots of trucks', 'trucks driving', 'highway filled', 'lots', 'generate a photo', 'vehicles and farms']",PNG,1024x1024,1.05,1024,1024
10,new generate a photo of Indian roads in a city at with potholes and vehicles going around to avoid the potholes.png,a bus is driving down the road in the rain,a city with potholes and vehicles going around to avoid the potholes,daytime,rainy,"['bus is driving', 'rain', 'bus', 'road', 'photo of Indian', 'avoid the potholes.png', 'generate a photo']",PNG,1024x1024,1.05,1024,1024
11,generate a camera shot Image of an intersection in India with various types of vehicles including auto-rickshaws motorcycles and bicycles.png,a city street filled with lots of traffic,a camera shot of an intersection in india with various types of vehicles including auto-rickshaw,daytime,rainy,"['city street filled', 'lots of traffic', 'filled with lots', 'city', 'lots', 'camera shot Image', 'vehicles including auto-rickshaws']",PNG,1024x1024,1.05,1024,1024
12,generate a camera shot quality image that shows a busy indian city with uneven roads.With a traffic block on the crossroad.png,a city street filled with lots of cars and trucks,a city with uneven roads and traffic block on the crossroad,daytime,rainy,"['city street filled', 'cars and trucks', 'filled with lots', 'lots of cars', 'city', 'busy indian city', 'camera shot quality']",PNG,1024x1024,1.05,1024,1024
13,image taken from an underground camera driving through a busy mumbai street at 4 pm high quality.png,a city street filled with lots of cars and trucks,image taken from an underground camera driving through a busy mumbai street at 4 pm high quality,daytime,rainy,"['city street filled', 'cars and trucks', 'filled with lots', 'lots of cars', 'city', 'busy mumbai street', 'underground camera driving']",PNG,1024x1024,1.05,1024,1024
14,Generate a camera photo of a traffic policeman managing the flow of vehicles on a crowded Indian road.png,a busy street filled with lots of cars and trucks,a traffic policeman managing the flow of vehicles on a crowded Indian road,daytime,rainy,"['busy street filled', 'cars and trucks', 'filled with lots', 'lots of cars', 'busy', 'crowded Indian road.png', 'Generate a camera']",PNG,1024x1024,1.05,1024,1024
15,2generate a camera shot image of an intersection of a road in India with various types of vehicles including autorickshaws cars motorcycles trucks and buses.png,a street filled with lots of cars and people,a camera shot image of an intersection of a road in india with various types of vehicles,daytime,rainy,"['street filled', 'filled with lots', 'cars and people', 'lots of cars', 'including autorickshaws cars', 'camera shot image', 'road in India']",PNG,1024x1024,1.05,1024,1024
16,generate a car pov shot of a modern bangalore road at night (1).png,a car is driving down the street at night,a car pov shot of a modern bangalore road at night (1).,night,rainy,"['street at night', 'car is driving', 'car pov shot', 'car', 'modern bangalore road', 'generate a car', 'png']",PNG,1024x1024,1.05,1024,1024
17,Generate an image taken from an low point of view camera driving through a busy Indian flyover at early rainy morning high quality.png,a highway filled with lots of cars and trucks,a low point of view camera driving through a busy Indian flyover at early rainy,daytime,rainy,"['cars and trucks', 'highway filled', 'filled with lots', 'lots of cars', 'busy Indian flyover', 'morning high quality.png', 'view camera driving']",PNG,1024x1024,1.05,1024,1024
18,flooded Indian road during the rainy season3.png,a city street filled with lots of cars and trucks,flooded Indian road during the rainy season3.png,daytime,rainy,"['city street filled', 'cars and trucks', 'filled with lots', 'lots of cars', 'city', 'flooded Indian', 'road']",PNG,1024x1024,1.05,1024,1024
19,flooded Indian road during the rainy season.png,a yellow truck driving down a flooded street,flooded Indian road during the rainy season,daytime,rainy,"['yellow truck driving', 'flooded street', 'truck', 'Indian road', 'rainy season.png']",PNG,1024x1024,1.05,1024,1024
20,generate a photo of empty highways in India.png,a highway filled with lots of cars and trucks,empty highways in india,daytime,rainy,"['cars and trucks', 'filled with lots', 'lots of cars', 'highway filled', 'empty highways', 'generate a photo', 'India.png']",PNG,1024x1024,1.05,1024,1024
21,Generate a image that looks like its been captured by a high definition camera of typical day on an urban indian road with trucks buses and cars navigating through the bustling traffic..png,a busy city street filled with lots of traffic,a typical day on an urban indian road with trucks buses and cars navigating through the,daytime,rainy,"['busy city street', 'lots of traffic', 'street filled', 'filled with lots', 'busy', 'city', 'lots']",PNG,1024x1024,1.05,1024,1024
22,generate a photo of an alley road in India with a small group of people walking there.png,a motorcycle is parked on the side of a road,a group of people walking down an alley in india,daytime,rainy,"['motorcycle is parked', 'side', 'people walking there.png', 'road', 'generate a photo', 'small group', 'group of people']",PNG,1024x1024,1.05,1024,1024
23,2Generate a nighttime camera photo of a traffic policeman managing the flow of vehicles with headlights on in an Indian road from a lower point of view.png,a city street filled with lots of traffic at night,a nighttime camera photo of a traffic policeman managing the flow of vehicles with head,nighttime,rainy,"['city street filled', 'filled with lots', 'traffic at night', 'lots of traffic', 'city', 'lots', 'nighttime camera photo']",PNG,1024x1024,1.05,1024,1024
24,empty road at night2.png,a blurry photo of a street at night,empty road at night2.png,night,rainy,"['street at night', 'blurry photo', 'empty road']",PNG,1024x1024,1.05,1024,1024
