Name,Image Prompt,Image Caption,Image Description,Image DayTime,Image Weather,KeyWords,File Type,Image Size,Megapixels,Image Width,Image Height,
1.png,"sunny day with blue skies in indian traffic street on red signal, with cars and motorbikes overtaking and potholes in the road ",a blurry photo of a street at night,empty road at night,nighttime,sunny,"['street at night', 'blurry photo', 'empty road']",PNG,1024x1024,1.05,1024,1024,1.png.png
2.png,new generate a photo of Indian roads in a city at with potholes and vehicles going around to avoid the potholes ,a motorcycle is parked on the side of a road,a group of people walking down an alley in india,daytime,sunny,"['motorcycle is parked', 'side', 'people walking there ', 'road', 'generate a photo', 'small group', 'group of people']",PNG,1024x1024,1.05,1024,1024,2.png.png
3.png,new generate a photo of highways in India with a few vehicles and farms on either side of the road ,a street scene with people on motorbikes and cars on the road,a camera shot urban Indian street scene during a monsoon rain showcasing,daytime,rainy,"['street scene', 'scene with people', 'people on motorbikes', 'motorbikes and cars', 'road', 'cars', 'urban Indian street']",PNG,1024x1024,1.05,1024,1024,3.png.png
4.png,"image taken from an underground camera driving through a busy mumbai street at 4 pm, high quality ",a street filled with lots of cars and motorcycles,a camera captured shot of an indian road in urban area with people navigating through traffic,daytime,sunny,"['cars and motorcycles', 'street filled', 'filled with lots', 'lots of cars', 'Generate camera captured', 'traffic including pedestrians', 'captured shot']",PNG,1024x1024,1.05,1024,1024,4.png.png
5.png,Generate camera captured shot of a indian road in urban area with people navigating through traffic including pedestrians cyclists and motorcyclists of year 2023 ,a yellow truck driving down a flooded street,flooded Indian road during the rainy season,daytime,sunny,"['yellow truck driving', 'flooded street', 'truck', 'Indian road', 'rainy season ']",PNG,1024x1024,1.05,1024,1024,5.png.png
6.png,Generate an image taken from an low point of view camera driving through a busy Indian road at early rainy morning high quality2 ,a highway filled with lots of cars and trucks,a low point of view camera driving through a busy Indian flyover at early rainy,daytime,rainy,"['cars and trucks', 'highway filled', 'filled with lots', 'lots of cars', 'busy Indian flyover', 'morning high quality ', 'view camera driving']",PNG,1024x1024,1.05,1024,1024,6.png.png
7.png,Generate an image taken from an low point of view camera driving through a busy Indian flyover at early rainy morning high quality2 ,a city street with cars parked on the side of the road,2 refined,daytime,sunny,"['city street', 'street with cars', 'road', 'cars', 'side']",PNG,512x512,0.26,512,512,7.png.png
8.png,Generate an image taken from an low point of view camera driving through a busy Indian flyover at early rainy morning high quality ,a city street filled with cars and trucks,sunny day with blue skies in indian traffic street on red signal with cars and motorbikes,daytime,rain,"['city street filled', 'cars and trucks', 'filled with cars', 'cars', 'city', 'indian traffic street', 'sunny day']",PNG,1024x1024,1.05,1024,1024,8.png.png
9.png,generate a photo of empty highways in India ,a city street filled with lots of cars and trucks,flooded Indian road during the rainy season,daytime,sunny,"['city street filled', 'cars and trucks', 'filled with lots', 'lots of cars', 'city', 'flooded Indian', 'road']",PNG,1024x1024,1.05,1024,1024,9.png.png
10.png,generate a photo of an alley road in India with a small group of people walking there ,a city street filled with lots of traffic,camera looking at busy bengaluru road at night time low angle hyper realistic,nighttime,sunny,"['city street filled', 'lots of traffic', 'filled with lots', 'city', 'lots', 'angle hyper realistic', 'busy bengaluru road']",PNG,1024x1024,1.05,1024,1024,10.png.png
11.png,"Generate a image that looks like its been captured by a high definition camera of typical day on an urban indian road, with trucks, buses, and cars navigating through the bustling traffic. ",a highway filled with lots of traffic on a sunny day,a low point of view camera driving through a busy Indian flyover at early rainy,daytime,rainy,"['sunny day', 'highway filled', 'filled with lots', 'lots of traffic', 'lots', 'busy Indian flyover', 'rainy morning high']",PNG,1024x1024,1.05,1024,1024,11.png.png
12.png,generate a car pov shot of a modern bangalore road at night (1) ,a herd of cattle walking down a street,cows on road,daytime,sunny,"['herd of cattle', 'cattle walking', 'street', 'herd', 'cows']",PNG,1024x1024,1.05,1024,1024,12.png.png
13.png,"Generate a camera shot urban Indian street scene during a monsoon rain, showcasing a lot of traffic congestion, pedestrians with umbrellas, and pothole-filled roads. This should be from the point of view of a car in the tra ",a car is stopped at a traffic light at night,a nighttime rainy season camera photo of a few vehicles with headlights on,nighttime,sunny,"['light at night', 'car is stopped', 'car', 'traffic', 'rainy season camera', 'Indian road', 'camera photo']",PNG,1024x1024,1.05,1024,1024,13.png.png
14.png,"generate a camera shot quality image that shows a busy indian road with autos, cars and scooties on the road. This is a zebracrossing with _red light signal_ and people crossing the road . It is a sunny d ",a city street filled with lots of cars and trucks,image taken from an underground camera driving through a busy mumbai street at 4 pm high quality,daytime,sunny,"['city street filled', 'cars and trucks', 'filled with lots', 'lots of cars', 'city', 'busy mumbai street', 'underground camera driving']",PNG,1024x1024,1.05,1024,1024,14.png.png
15.png,generate a camera shot quality image that shows a busy indian city with uneven roads.With a traffic block on the crossroad ,a highway filled with lots of trucks driving down it,a photo of highways in india with a few vehicles and farms on either side of,daytime,sunny,"['filled with lots', 'lots of trucks', 'trucks driving', 'highway filled', 'lots', 'generate a photo', 'vehicles and farms']",PNG,1024x1024,1.05,1024,1024,15.png.png
16.png,"generate a camera shot Image of an intersection in India with various types of vehicles, including auto-rickshaws, motorcycles, and bicycles ",a city street filled with lots of cars and trucks,a city with uneven roads and traffic block on the crossroad,daytime,sunny,"['city street filled', 'cars and trucks', 'filled with lots', 'lots of cars', 'city', 'busy indian city', 'camera shot quality']",PNG,1024x1024,1.05,1024,1024,16.png.png
17.png,Generate a camera photo of a traffic policeman managing the flow of vehicles on a crowded Indian road ,a bus is driving down the road in the rain,a city with potholes and vehicles going around to avoid the potholes,daytime,sunny,"['bus is driving', 'rain', 'bus', 'road', 'photo of Indian', 'avoid the potholes ', 'generate a photo']",PNG,1024x1024,1.05,1024,1024,17.png.png
18.png,flooded Indian road during the rainy season3 ,a city street filled with lots of traffic,a camera shot of an intersection in india with various types of vehicles including auto-rickshaw,daytime,sunny,"['city street filled', 'lots of traffic', 'filled with lots', 'city', 'lots', 'camera shot Image', 'vehicles including auto-rickshaws']",PNG,1024x1024,1.05,1024,1024,18.png.png
19.png,flooded Indian road during the rainy season2 ,a car is driving down the street at night,a car pov shot of a modern bangalore road at night,nighttime,sunny,"['street at night', 'car is driving', 'car pov shot', 'car', 'modern bangalore road', 'generate a car', 'png']",PNG,1024x1024,1.05,1024,1024,19.png.png
20.png,flooded Indian road during the rainy season ,a busy city street filled with lots of traffic,a typical day on an urban indian road with trucks buses and cars navigating through the,daytime,sunny,"['busy city street', 'lots of traffic', 'street filled', 'filled with lots', 'busy', 'city', 'lots']",PNG,1024x1024,1.05,1024,1024,20.png.png
21.png,empty road at night2 ,a car is driving down a flooded street,a low point of view camera driving through a busy Indian road at early rainy morning,daytime,rainy,"['flooded street', 'car is driving', 'car', 'busy Indian road', 'rainy morning high', 'Generate an image', 'low point']",PNG,1024x1024,1.05,1024,1024,21.png.png
22.png,cows on road2 ,a highway filled with lots of cars and trucks,empty highways in india,daytime,sunny,"['cars and trucks', 'filled with lots', 'lots of cars', 'highway filled', 'empty highways', 'generate a photo', 'India ']",PNG,1024x1024,1.05,1024,1024,22.png.png
23.png,"camera looking at busy bengaluru road at night time, low angle, hyper realistic  ",a busy street filled with lots of cars and trucks,a traffic policeman managing the flow of vehicles on a crowded Indian road,daytime,sunny,"['busy street filled', 'cars and trucks', 'filled with lots', 'lots of cars', 'busy', 'crowded Indian road ', 'Generate a camera']",PNG,1024x1024,1.05,1024,1024,23.png.png
24.png,3Generate a nighttime rainy season camera photo of a few vehicles with headlights on in an Indian road from a lower point of view. ,a truck driving down a flooded street next to a group of people,flooded Indian road during the rainy season,daytime,sunny,"['group of people', 'truck driving', 'flooded street', 'Indian road', 'rainy']",PNG,1024x1024,1.05,1024,1024,24.png.png
25.png,2refined ,a street filled with lots of cars and people,a camera shot image of an intersection of a road in india with various types of vehicles,daytime,sunny,"['street filled', 'filled with lots', 'cars and people', 'lots of cars', 'including autorickshaws cars', 'camera shot image', 'road in India']",PNG,1024x1024,1.05,1024,1024,25.png.png
26.png,2Generate a nighttime camera photo of a traffic policeman managing the flow of vehicles with headlights on in an Indian road from a lower point of view ,a city street filled with lots of traffic at night,a nighttime camera photo of a traffic policeman managing the flow of vehicles with head,nighttime,sunny,"['city street filled', 'filled with lots', 'traffic at night', 'lots of traffic', 'city', 'lots', 'nighttime camera photo']",PNG,1024x1024,1.05,1024,1024,26.png.png
27.png,"2generate a camera shot image of an intersection of a road in India with various types of vehicles including autorickshaws, cars, motorcycles, trucks and buses ",a busy street filled with cars and pedestrians,zebra crossing in a busy road,daytime,sunny,"['busy street filled', 'cars and pedestrians', 'filled with cars', 'busy', 'cars', 'camera shot quality', 'generate a camera']",PNG,1024x1024,1.05,1024,1024,27.png.png
